,FECHA,FOLIO,PROVEEDOR,DESCRIPCION,TIPO GASTO,IMPORTE,IVA,TOTAL MX
0,2020-01-01,39408,ARSI RENTA SA DE CV,"Descripción: REVOLVEDORA, Modelo: ULTRAMP9A, Marca: CIPSA, Serie: SN, Aduana: 0, Equipo usado en las condiciones en que se encuentra.",MAQUINARIA,0.0,2248.28,2248.28
1,2020-01-01,0001010100750847116902,"BANCO NACIONAL DE MEXICO, S.A.",COMISION COBRADA,COMISION BANCARIA,490.0,78.4,568.4
2,2020-01-01,0001010100752163714102,"BANCO NACIONAL DE MEXICO, S.A.",COMISION COBRADA,COMISION BANCARIA,195.0,31.2,226.2
3,2020-01-01,3663,"PROMOTORA DE SERVICIOS Y SOLUCIONES EMPRESARIALES, SA DE CV","HONORARIOS CONTABLES
DEL MES DE ENERO DEL 2020.",HONORARIOS CONTABLES,10694.25,1711.08,12405.33
4,2020-01-01,2849,ELECTROTERMICA NACIONAL SA DE CV,Pago,COMPRAS,0.0,0.0,0.0
5,2020-01-01,2860,ELECTROTERMICA NACIONAL SA DE CV,Pago,COMPRAS,0.0,0.0,0.0
6,2020-01-01,944,GRUPO INDUSTRIAL CASILLAS SA DE  CV,MAQUILA,MAQUILAS GIC,32068.97,5131.03,37200.0
7,2020-01-01,945,GRUPO INDUSTRIAL CASILLAS SA DE  CV,MAQUILA,MAQUILAS GIC,8620.69,1379.31,10000.0
8,2020-01-01,22019120028311,"INTERCAM FONDOS, S.A. DE C.V. SOCIEDAD OPERADORA DE FONDOS DE INVERSION INTERCAM GRUPO FINANCIERO",Comisiones y Otros Cargos,COMISION BANCARIA,0.01,0.0,0.01
9,2020-01-01,529,MARISOL MENDOZA CHAVEZ,Pago,COMPRAS,0.0,0.0,0.0
10,2020-01-01,67361,NOVATEL MEXICANA S.A. DE C.V,"CINTA 0.003"" C/A STD DE 2"" X 33 MT",COMPRAS,4371.72,699.48,5071.200000000001
11,2020-01-01,61485334,OFFICE DEPOT DE MEXICO S.A. DE C.V.,AGENDA ESCR SELLADA NEGRA,PAPELERIA,159.48,25.52,185.0
12,2020-01-01,138,MARIA DEL ROSARIO OVIEDO ORTIZ,Paquete de Timbres para CFDI,MTTO COMPUTO,480.0,76.8,556.8
13,2020-01-01,139,MARIA DEL ROSARIO OVIEDO ORTIZ,Servicio de Asesoría,MTTO COMPUTO,2500.0,400.0,2900.0
14,2020-01-01,33301671,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,88.44,14.15,102.59
15,2020-01-01,143203,BEPENSA LEASING S.A. DE C.V.,AA RENTA EXIGIBLE CL0000001333 32/36 de 06/12/2019 a 05/01/2020,ARRENDAMIENTO FINANCIERO,5344.76,855.16,6199.92
16,2020-01-01,143204,BEPENSA LEASING S.A. DE C.V.,AA RENTA EXIGIBLE CL0000001334 32/36 de 06/12/2019 a 05/01/2020,ARRENDAMIENTO FINANCIERO,5152.17,824.35,5976.52
17,2020-01-01,3511071,"COSTCO DE MEXICO, S.A. DE C.V.",JUGO MANZANA ESPUMOSO 4/750ML MARTINELLI'S,NO DEDUCIBLE,0.0,0.0,0.0
18,2020-01-01,3511073,"COSTCO DE MEXICO, S.A. DE C.V.",ROSCA DE REYES 2 KILOS KIRKLAND SIGNATURE,NO DEDUCIBLE,0.0,0.0,0.0
19,2020-01-01,3511075,"COSTCO DE MEXICO, S.A. DE C.V.",CONEJOS DE CHOCOLATE 600 G TURIN,NO DEDUCIBLE,0.0,0.0,0.0
20,2020-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,674.62,124.37,798.99
21,2020-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,752.43,146.57,899.0
22,2020-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,674.62,124.37,798.99
23,2020-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,674.62,124.37,798.99
24,2020-01-01,60410,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",RESISTENCIA FORRADA SILICON 40 OHMS,COMPRAS,2750.0,396.0,3146.0
25,2020-01-01,24341,VICTOR HUGO AGUILAR ARREDONDO,TRAMPA PARA RATON EN TIRAS CON PEGAMENTO,MTTO LOCAL,256.0,40.96,296.96
26,2020-01-01,24342,VICTOR HUGO AGUILAR ARREDONDO,MANGUERA PARA OXIGENO VERDE 1/4,MTTO LOCAL,282.0,45.12,327.12
